id,name,age,salary,date,category
08133,None Lee  ,16.741618711053132,102784.0,2022-11-14,B
,Diana Михайлов  ,43.41581093846874,48330.35,2020-02-19,a
00720,Charlie None,28.195626535091694,126557.9,2023-03-29,A
08238,bob Smith,39.51508280338806,71411.52,2022-11-05,A
04556,ALICE Smith ,45.646663947574304,158614.65,2020-06-20,B
06652,Frank 🐼  ,38.934450583172,,2022-06-23,B
05651,Diana Johnson,44.589521475176994,43432.43,13/45/2022,B
09035,Alice 🐼  ,10.200328845751145,53309.34,2024-01-10,A
01261,Alice van der Waal,29.085720035553365,32652.4,2022-04-26,C
00645,Eve ,48.236920001469,95124.5,2022-09-05,C
09099,ALICE None ,41.110754459794656,57646.23,2023-06-17,C
03761,None,57.18155918661755,33756.82,30/06/2022,C
00035,None ,55.452565759604205,39680.05,28/04/2022,B
08087,ALICE O'Connor ,38.59510561340764,38755.1,2023-12-11,B
04874,Frank Johnson,31.97625657338232,95018.77,2023-08-26,B
01539,Diana Михайлов,23.498735443196125,,07/11/2020,A
03356,Frank Михайлов ,29.29029721357703,56034.18,2022-08-18,A
00889,Charlie Smith ,,49878.77,2021-05-08,C
08565,bob O'Connor ,27.881009691419422,,2023-04-21,🎲
00530,Eve Lee  ,,145882.52,2023-12-02,B
07082,None Михайлов  ,39.81891905026454,53265.78,2020-09-01,C
09306,Eve ,55.35967613770681,-30.04,2020-12-14,C
05773,bob Johnson,46.199081218763105,50784.42,2024-01-15,
09489,None,31.13095930075612,138863.81,2022-11-05,A
03363,Frank Smith,47.16834617120851,32545.82,13/45/2022,C
07043,Bob 🐼 ,39.15981040206658,89636.27,2020-01-05,B
01491,bob Johnson  ,34.51154778875789,40958.03,2022-06-23,A
01735,Grace van der Waal ,,181071.86,2020-12-11,
09268,Diana Михайлов ,32.60071834414083,84852.8,2022-07-07,C
04363,bob Lee ,42.81279347284724,25542.62,13/07/2020,B
02049,Alice O'Connor,,37581.5,2020-05-16,A
05968,Diana 🐼 ,26.25892642907612,84337.02,2021-04-13,B
02833,Grace Smith  ,25.67777469079578,83191.12,21/02/2022,C
05482,Eve 🐼  ,38.67084777538002,80142.57,2021-10-31,C
06554,Frank Михайлов,40.143814588199305,64750.21,2020-02-03,a
05270,Diana Lee,31.242408268198588,51048.88,2022-02-06,A
00829,None  ,21.41593252704507,103091.65,24/04/2020,C
06465,Alice Михайлов ,50.01158140502159,38867.81,2021-12-10,C
03802,Bob Михайлов  ,47.46325531432521,61495.34,2021-10-16,C
07234,ALICE 🐼 ,11.151481988318025,43911.39,N/A,B
04981,Grace Johnson,51.07499507976236,42194.3,2021-09-05,B
00321,Frank,32.492290432003834,47595.81,2020-06-04,C
09817,None  ,37.27984496032571,41455.2,2021-01-14,A
05300,Lee,48.658676720631526,,2023-07-08,C
01784,Bob Smith ,54.83046543954865,28622.52,2022-10-30,C
05317,Diana Lee  ,47.03438342054636,74273.44,2021-09-14,B
08418,None Михайлов ,37.89236598740671,43602.37,2021-09-22,C
03484,Frank 🐼  ,18.49231176436402,60790.83,2021-08-31,C
07989,🐼 ,10.68521811218314,55081.97,2023-10-04,
01055,bob O'Connor ,45.53790726829404,46648.18,2023-05-07,C
04578,O'Connor ,51.10436414893372,109816.02,2023-06-12,C
07527,Charlie Johnson  ,25.224261669943424,49739.71,16/07/2020,a
01628,Bob,31.76264042313524,85114.37,2020-10-28,B
02751,Charlie None,28.312809339374542,85664.49,2023-05-24,a
03337,O'Connor ,27.993199118131958,52245.44,2022-03-09,A
02900,bob,,31922.14,2020-01-11,A
06668,ALICE van der Waal,37.62047759304371,,N/A,C
02368,None  ,32.24986026325197,113481.96,18/08/2021,C
04590,bob None,66.89024024612448,76594.1,2022-09-22,A
02648,Grace Smith,17.786949211909278,64178.77,2020-10-26,B
07516,Lee  ,,45093.18,2023-10-15,A
01737,Grace Михайлов ,22.41226057793366,142331.05,2022-04-28,A
09144,Bob Smith ,33.1107575360691,38791.1,13/45/2022,B
03193,Alice,36.78366061355208,64206.17,2021-03-02,A
09588,ALICE O'Connor,45.13514863562111,76949.41,2020-03-18,A
06538,Frank O'Connor ,31.865817258067732,31167.99,2023-04-21,B
03347,Eve van der Waal ,30.596622826437898,40976.75,2020-08-12,C
03449,Eve Михайлов  ,31.650978826237907,47630.44,2022-03-01,C
03571,Eve Михайлов ,22.04056776438589,92129.93,2023-11-24,A
02311,ALICE Johnson ,42.58771762510024,48102.07,2020-02-12,
04791,Alice van der Waal  ,38.3760124493829,29199.45,2022-07-12,A
09673,Bob Lee,40.2220240557806,27829.69,2022-01-21,A
05762,O'Connor ,,40802.57,2023-04-08,B
,Grace 🐼 ,32.68546448131888,28422.77,2022-04-19,C
06303,Bob van der Waal,49.107204058770215,87932.24,2023-11-04,C
06865,Alice van der Waal  ,47.261437641884186,89672.57,2023-08-23,C
07593,Charlie,51.97760703421265,60085.72,2021-12-30,B
05355,Diana Johnson,39.47113221795045,52493.39,2022-08-15,C
02211,Alice Johnson  ,51.23196913586503,86751.09,2021-08-11,A
08756,Charlie Lee  ,30.00700832335503,84973.09,03/10/2022,A
06982,None ,32.58977856630403,36558.18,2020-07-19,C
05900,bob ,49.341209044183536,39173.01,2021-03-29,A
03763,bob van der Waal,45.121058459122864,85243.92,2022-11-10,🎲
09118,Eve Михайлов,31.51459511702124,68547.19,2022-04-07,B
05399,Diana Михайлов,22.44490116776347,81155.12,04/10/2021,A
01919,ALICE Johnson  ,32.55242951609033,38293.6,2021-04-04,
04553, ,26.78157870467558,41116.71,2023-05-31,B
05851,Grace O'Connor,55.694041789864094,75504.26,2020-05-18,A
05442,Diana Johnson,44.12048772223701,42574.91,2020-10-13,A
01467,Diana 🐼  ,25.80892907135881,28001.97,2021-09-03,C
05243,Grace Johnson,22.46010847201985,42898.59,05/02/2021,C
00487,Grace None,25.660240714585335,54037.35,2023-11-07,C
05763,Alice Smith,28.29409713840399,140178.87,2020-09-07,B
08610,ALICE 🐼  ,32.999595274433666,39370.69,2020-10-15,C
09781,Grace ,48.37455789057065,58055.63,2022-03-06,C
04658,None van der Waal,23.401797303763956,166285.91,2023-10-06,b
09831,Charlie None,62.4744469381586,34658.43,2023-01-14,B
09120,Lee  ,23.680397158056145,83303.41,2021-02-30,A
07638,🐼 ,18.091427226864813,41961.67,2020-01-10,A
00964,Bob Johnson  ,55.25965790388165,73192.38,2023-06-15,A
08855,None Михайлов,50.85506719804347,192397.93,2021-07-20,A
08055,None O'Connor,32.81181442692458,88945.14,2021-12-24,A
04219,bob van der Waal  ,39.57598778149432,64597.4,2021-11-29,B
01920,Charlie Johnson  ,39.87882942922417,37213.93,2021-08-04,A
06864,bob 🐼,36.6405491449227,54846.28,2020-04-08,A
04946,Frank Johnson  ,19.442245538354324,45130.84,2021-04-13,A
00191,Bob Johnson ,5.216393808004973,28990.48,2020-08-03,B
05295,Bob van der Waal ,24.863285812118995,20651.44,N/A,A
03118,Charlie Johnson ,56.79385293645137,39528.09,2020-07-15,B
08864,Diana 🐼  ,57.26496203271988,58937.13,2022-04-20,C
09351,Frank Johnson  ,31.857956426092294,104784.29,2021-07-22,A
07732,van der Waal  ,23.504429329715943,41394.59,2021-09-25,
01627,Charlie 🐼,38.33745463675256,65894.31,2023-04-26,a
06340,ALICE van der Waal ,40.26777434560431,25575.84,21/11/2022,
05799,Bob Lee,42.20863423152869,40126.77,2021-08-16,
07311,None,4.6756558059488285,17611.99,2022-06-06,A
03908,ALICE  ,72.89307420590194,-30.04,2022-10-24,B
06633,Михайлов  ,48.58969601652359,66104.76,2023-01-12,A
09001,None 🐼  ,32.625635555124,65069.14,2021-04-14,A
09951,Михайлов ,,78245.75,2021-08-25,B
00373,Bob None,46.84766832895526,212389.82,2023-08-20,C
03223,Alice O'Connor ,,48163.8,2020-01-26,C
00899,Frank,36.105769856414135,36666.28,2023-07-06,A
02677,Bob van der Waal ,40.50001560368974,,2021-02-16,B
00049,Eve Smith,33.64736474930463,32356.07,2020-02-27,C
09736,Charlie O'Connor ,39.82234718860762,114584.01,2022-09-15,C
06806,bob O'Connor,43.716354211442045,57704.49,2023-01-18,C
